UNIQUE_ID,Test ID,Shot X,Shot Y,Step Pitch X,Step Pitch Y,Map Shift X,Map Shift Y,Coordinate X,Coordinate Y,Wafer X,Wafer Y,Radius
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,1,-6,-2,22583.68,32940,2814.357,0,0,-2313.7,-132687.723,-68193.7,149185.8323
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,3,-6,-2,22583.68,32940,2814.357,0,11153.04,16470,-121534.683,-49410,131194.616
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,4,-6,-2,22583.68,32940,2814.357,0,10237.04,-16470,-122450.683,-82350,147565.8913
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,6,-6,-2,22583.68,32940,2814.357,0,-5507.12,16470,-138194.843,-49410,146762.266
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,7,-6,-2,22583.68,32940,2814.357,0,1743.7,16470,-130944.023,-49410,139956.0119
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,8,-6,-2,22583.68,32940,2814.357,0,7375.92,16470,-125311.803,-49410,134701.1361
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,10,-6,-2,22583.68,32940,2814.357,0,-5574.62,9882,-138262.343,-55998,149171.8857
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,11,-6,-2,22583.68,32940,2814.357,0,1662.5,9882,-131025.223,-55998,142489.9472
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,12,-6,-2,22583.68,32940,2814.357,0,7308.42,9882,-125379.303,-55998,137316.2249
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,14,-6,-2,22583.68,32940,2814.357,0,11291.84,9215.3,-121395.883,-56664.7,133969.581
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,16,-6,-2,22583.68,32940,2814.357,0,1662.5,3294,-131025.223,-62586,145205.4285
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,17,-6,-2,22583.68,32940,2814.357,0,7308.42,3294,-125379.303,-62586,140131.9985
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,19,-6,-2,22583.68,32940,2814.357,0,11291.84,2811.7,-121395.883,-63068.3,136801.2093
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,21,-6,-2,22583.68,32940,2814.357,0,1662.5,-3294,-131025.223,-69174,148164.2715
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,22,-6,-2,22583.68,32940,2814.357,0,7308.42,-3294,-125379.303,-69174,143195.7119
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,24,-6,-2,22583.68,32940,2814.357,0,11291.84,-5693.5,-121395.883,-71573.5,140924.5412
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,27,-6,-2,22583.68,32940,2814.357,0,7308.42,-9882,-125379.303,-75762,146491.8095
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,28,-6,-2,22583.68,32940,2814.357,0,11291.84,-11789.6,-121395.883,-77669.6,144116.3668
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,1,-6,-1,22583.68,32940,2814.357,0,0,-2313.7,-132687.723,-35253.7,137291.133
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,2,-6,-1,22583.68,32940,2814.357,0,-10237.04,16470,-142924.763,-16470,143870.5973
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,3,-6,-1,22583.68,32940,2814.357,0,11153.04,16470,-121534.683,-16470,122645.5873
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,4,-6,-1,22583.68,32940,2814.357,0,10237.04,-16470,-122450.683,-49410,132043.6211
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,6,-6,-1,22583.68,32940,2814.357,0,-5507.12,16470,-138194.843,-16470,139172.8261
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,7,-6,-1,22583.68,32940,2814.357,0,1743.7,16470,-130944.023,-16470,131975.748
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,8,-6,-1,22583.68,32940,2814.357,0,7375.92,16470,-125311.803,-16470,126389.5125
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,9,-6,-1,22583.68,32940,2814.357,0,-11291.84,11789.6,-143979.563,-21150.4,145524.7538
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,10,-6,-1,22583.68,32940,2814.357,0,-5574.62,9882,-138262.343,-23058,140171.8476
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,11,-6,-1,22583.68,32940,2814.357,0,1662.5,9882,-131025.223,-23058,133038.6426
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,12,-6,-1,22583.68,32940,2814.357,0,7308.42,9882,-125379.303,-23058,127481.9241
