UNIQUE_ID,UNIQUE_ID4,DieX,DieY,RK1,RK2,RK3,RK4,RK5,RK6,RK7,RK8,RK9,RK10,RK11,RK12,RK13,RK14,RK15,RK16,RK17,RK18,RK19,RK20
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_-2_E1,-6,-2,0.00462565406353393,0.002946704958387178,-1.2847971025001919,-0.46394083020078725,0.5466194296410839,-0.7574721515257735,0.07974949002891744,0.014458740668349622,0.08891680960694744,0.10685517107943696,0.03070362386881518,0.04678285442427745,0,-0.0002455238171651717,-0.003500211161689013,-0.0010424393210938304,-0.002086227911646239,-0.005919479276275133,-0.0006271946953177944,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_-1_E1,-6,-1,0.0007374575945698522,0.00014950161743384886,0.0168452978406563,0.010916682647620812,0.04246524076161011,0.015147926534144329,-0.019577221555814348,0.0007685361838703283,-0.010189069470317407,0.004364009824888047,-0.0028365171709495846,0.0074886998022149105,0,-8.594510390031837e-05,0.000982138218433461,-0.0002582102222717732,0.0005744086200198588,-0.0005656032465897468,0.00014372225123778634,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_0_E1,-6,0,5.2458702270300484e-05,-0.00048148177859162305,0.06671598173981441,0.017852381041985905,0.03142847934773602,-0.019953632962504596,0.0028077088442453393,0.0014650303762777112,0.0016204637343627446,-4.553378476136872e-05,-0.00040541370727940825,-0.0006346145274165879,0,-8.910923023165357e-05,-0.0001207372529481587,0.00020958625862726218,-0.00026116472926991993,-0.00023697268650025408,0.00012534047576771617,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_1_E1,-6,1,-0.00021465832515920677,-0.00013302852405222502,0.14566164778314786,0.019548046588106625,0.06517947135644954,-0.10017382564432845,0.02199772005407463,0.000912708729679214,-0.014636119316636373,0.008047350811483571,0.0019349221058009305,-0.01487157020260284,0,-0.00012750053200031387,0.0009135083711489183,0.0010422831988520771,-0.0015116294050252354,-0.000598752112009375,0.00035878181901254866,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_2_E1,-6,2,0.001574237441513304,-0.00013101105460398274,-0.009103286935076522,0.00025732506046437025,0.0007129773210589015,0.002560418422925854,-0.03247044543476382,-0.006879574170911794,0.05568944406539141,-0.01716838587558734,0.015085175530261279,0.006689608905611508,0,-0.0005340479920032038,-0.005750755143208188,-0.000514684551683149,0.0016428325194101701,0.0015651545712012905,0.0016478932458622573,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_-3_E1,-5,-3,0.00102153774005842,-0.0009514495320383132,-0.005669536290864656,0.0007505334812774123,0.0002461096438408816,0.0029526330313292657,-0.02585089240499571,0.0034317810810976083,-0.040748817875383765,0.024222175953108473,0.003775026608542288,0.012315346958840017,0,0.00011346155918329945,0.0017625559739966885,-0.001054869823480817,0.00245072479463899,-0.0018185402507117881,-0.0005392173449009225,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_-2_E1,-5,-2,-0.000505801210257828,-5.812300271936996e-05,-0.10980187365364176,0.007354003865788273,0.033335888580231655,-0.016671038379042238,-0.0032472661172103013,-0.0005096903899681487,-0.0016579391775082327,-0.00079534244638436,0.002713059927340483,-0.0012702537842469404,0,-8.60579732726917e-05,-0.00012443684701236537,9.368443043110549e-05,0.0003879415432321453,0.00020018921060119418,0.00018997382957996616,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_-1_E1,-5,-1,4.2092125318567274e-05,-3.016149717794905e-05,0.02065500044813592,-0.010237390591144487,0.028002065279977523,0.012919731534758404,0.00031490463187873767,0.000613425855248017,0.0006583504089807096,0.0008056642711711086,0.0005569062030979206,0.0017959449361343188,0,8.070618281670253e-05,-4.605555518003456e-05,-4.597327607061058e-05,-5.017293513894952e-05,-9.40124704710605e-05,0.0001289992285846646,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_0_E1,-5,0,-4.2865559512780424e-05,0.0001228027843148466,0.013736417053313143,-0.006088404508646289,0.02578998205679856,0.006697396217182938,-0.00031541514135931394,-0.0013172661456593011,0.00019336543642727664,0.000710312584617549,0.0006538410296748102,-0.00021661349242657325,0,-1.5805909192834906e-05,3.3639835624758713e-05,-2.4502945477935198e-05,-3.190571693057339e-05,6.06312309261625e-05,0.0001278320889723723,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_1_E1,-5,1,-0.00045406307397048045,0.00020738149548727957,0.05296375522430227,-0.008211651758574318,-0.0005705749815148766,0.005152162648842103,0.0017675111274128433,0.0012704854134433286,-0.0006561566167587266,0.00011661945291456111,0.0012025678019722166,-0.00172552336818568,0,5.8047929119079717e-05,-6.370857254226556e-05,3.734158777169029e-05,-7.299700669477557e-05,-3.8833318080649255e-05,1.5479290340503628e-05,0
